lat,lon,user_id,Comment type,Comment,Proposal/solution,Who is effected,PSB aspirations,Are there other stakeholders?,"Short, medium, long term"
51.589136213553196,-2.9898476600646977,6,Opportunity,dsdfsda,asdfsda,asdfsad,asdfd,Yes,Long Term
51.57589716847745,-3.028381568029027,54,Opportunity,potential to include this as part of 2019 PSB Community Greenflag submissions ,"Work is already underway between Newport City council, South Wales Fire & Rescue , Natural Resources Wales and Keep Wales tidy to submit this site for the 2019 awards",local communities of the gollers,PSB aspirations are to increase the number of community greenflags across the city,Yes,Short term
51.64816050734045,-2.825164114649093,40,Opportunity,Stunning Ancient Woodland,Not an issue,local people,It is one of Newport's wonderful assets,Yes,Short term
51.54620439613369,-2.9615530738133815,69,Opportunity,This is the stunning Newport Wetlands National Nature Reserve ,"Connect more communities to this amazing resource and get them out exploring the fantastic coastline, and actively involved in managing the site",Newport Residents,Communities more active managing their greenspaces,Yes,Short term
51.57795498011522,-3.0176611272011256,70,Issue,Gaer community centre- outside space. ASB in the covered area next to the community centre,NA,NA,NA,No,Medium Term
51.57698152530402,-3.0197425078327926,70,Opportunity,Gaer shops green space,NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.573754306800154,-3.027789082439756,70,Opportunity,"Gaer fort- develop signage, history and heritage.","develop signage, history and heritage.",NA,NA,No,"[""Short term"", ""Medium Term""]"
51.57185787549458,-3.0200686625854583,70,Opportunity,Communal grass in Gaer largely owned by NCH. Potential planting,NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.56879301126607,-3.008661837636837,70,Opportunity,Maesglas- Cardiff Road. Shops and new tesco building/ flats- any oppurtunity for planting or better use of space,NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.56644821056058,-3.009335603364787,70,Opportunity,Maesglas park/ play area planting,NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.579539132255896,-3.012820305822118,70,Opportunity,Stelvio crescent- small park and open space. Additional planting/ trees etc.,Additional planting/ trees etc.,NA,NA,No,Short term
51.569123780855705,-3.0195622620732347,70,Example of best practice,St Davids School- safer routes in communities. Link between Tredegar Park and the Gaer (sustrans),NA,NA,NA,No,"[""Medium Term"", ""Long Term""]"
51.58176325184917,-2.9486967047377504,70,Issue,Moorland/ Broadmead park- open space. Lots of issues with fly tipping and ASB. Communal spaces on NCH land.,NA,NA,NA,No,Medium Term
51.58370993578077,-2.9527307208073776,70,,Liswerry Pond- issues with ASB/ drug litter,NA,NA,NA,No,Medium Term
51.57722955506112,-2.966806861986491,70,Example of best practice,"Lysaught Institute- Linc Cymru Small community group, supporting events outside",NA,NA,NA,No,Medium Term
51.56009876935494,-3.0199185579478383,70,Example of best practice,Duffryn Community link- lots of work already going on in Duffryn (inc KWT),NA,NA,NA,No,"[""Short term"", ""Medium Term"", ""Long Term""]"
51.57475983696982,-2.9955426752166407,70,Opportunity,"Only limited space available. But oppurtunity to redo overgrown area . Mendagiv Road, old school ground. ",Could be an area for local children/ forest school. Unite were looking at the area.,NA,NA,No,Medium Term
51.57868039074195,-2.9917232344698834,70,Example of best practice,"Planning MUGA area. United Living, Newport City Homes. Located off Comercial road/ Francis Drive. Linked to 'The Hub'.",NA,NA,NA,No,Medium Term
51.57585335876508,-2.9900066318870637,70,Issue,"Benches used for street drinking, so do not recommend benches. (Police)",NA,NA,NA,No,Short term
51.57697352454475,-2.98627302126943,70,Issue,"Constable Close (Linc Cymru)- empty flats. Entrances to rear of properties. All concrete, needs tidying up. Is this being addressed?",NA,NA,NA,No,Medium Term
51.57627715784521,-2.9916409302388525,70,Opportunity,"Pill Millenium centre/ outside green space/ park, Oppurtunity for development.","Propose community gardens, hanging baskets, planters.",NA,NA,No,"[""Short term"", ""Medium Term""]"
51.58113096491234,-2.992486357534763,70,Example of best practice,Mountjoy centre- plans for community led greening including planters.,NA,NA,NA,No,Short term
51.57686390932088,-2.976543411046833,70,Opportunity,Oppurtunities for improving area around Ariel Reach/ SDR/ Blaina Wharf Pub. Issues with ASB etc,Improve buildings/ open space,NA,NA,No,Medium Term
51.5948868239046,-2.9305768730465824,70,Opportunity,Ringland redevelopment oppurtunity to incorportate green spaces,NA,NA,NA,No,Medium Term
51.59466021527623,-2.930233552530026,70,Opportunity,Private management services on new developments rather than LA (or communtiy council). Possible partners,NA,NA,NA,No,Medium Term
51.589021562200415,-3.0642758482219743,70,Opportunity,Potential area for planting edible 'food supply' trees such as sweet chestnuts/ walnuts. ,NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.58934151964934,-3.06118596357291,70,Issue,"Link between new housing site and welfare ground, needs to be improved (NCC)",NA,NA,NA,No,Medium Term
51.604531571762664,-3.0515043221245453,70,Issue,Access into Mescoed Mawr needs to be improved (NCC),NA,NA,NA,No,Medium Term
51.59330293909116,-3.0858631339920266,70,Issue,Need improved access to woodland (NCC),NA,NA,NA,No,Medium Term
51.53149395545341,-3.063555003189589,70,Issue,Pentryn terrace ASB,NA,NA,NA,No,Medium Term
51.57704286698903,-2.966592007207303,70,Example of best practice,Lysaght Institute- developing community green space and community led biodiversity initiative,NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.64237528598568,-2.8283799491745243,70,Issue,Foresters Oaks car park/ pic nic area. Improvement/ protection against 4X4 damage (NCC),NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.59234900919714,-2.9300452407146054,70,Example of best practice,Ringland wood group- they support & work in the wood,NA,NA,NA,No,Medium Term
51.58454458764183,-2.9536099900930584,70,Example of best practice,Community planting planned at Liswerry Park Drive by Charter Housing Association green group.,NA,NA,NA,No,Short term
51.59350875927522,-2.952983430543215,70,Example of best practice,Community growing project planned at Hatherheigh by Charter Housing Association,NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.60330546611559,-2.9248180146952723,70,Issue,Isolated dormouse population (GWT),NA,NA,NA,No,"[""Medium Term"", ""Long Term""]"
51.597984850910144,-2.9578463012418137,70,Example of best practice,St Julians Wood- Local Nature Reserve- My Wild Newport Project  (GWT),NA,NA,NA,No,Medium Term
51.61012859000327,-2.9885390692767486,70,Example of best practice,Cycle path,NA,NA,NA,No,Medium Term
51.60979811792048,-2.925814411948258,70,Opportunity,Making links with Celtic Manor,NA,NA,NA,No,Medium Term
51.59710246350179,-2.991701691308089,70,Example of best practice,Shaftsebury Park,NA,NA,NA,No,Medium Term
51.60613079024098,-2.9955341627154963,70,Opportunity,"Brynglas training centre - Green space, Crindau area needs work on improving/ adding green space",NA,NA,NA,No,Medium Term
51.59029071365171,-2.9956285668727083,70,Example of best practice,Bee Friendly planters on Harlequin roundabout,NA,NA,NA,No,Medium Term
51.595622894633635,-2.997559744778378,70,Issue,Subway underpass ASB (police),NA,NA,NA,No,Medium Term
51.595702872583495,-2.996916018809828,70,Issue,McDonalds- ASB (police),NA,NA,NA,No,Medium Term
51.60521124568514,-2.9849939626949955,70,Example of best practice,Model Railway Society (GAVO),NA,NA,NA,No,Medium Term
51.606738477354746,-2.9886246838843316,70,Example of best practice,The Glebelands,NA,NA,NA,No,Medium Term
